Crop,Symptoms,Expected Disease,Predicted Disease,Severity,Confidence Score,Cause,Match Type,Accuracy (%),Organic Treatment,Chemical Treatment,Immediate Action,Prevention
Mango,"black, soot-like powdery growth covering leaf and stem surfaces, associated with honeydew from hoppers",Sooty Mold,Sooty Mold,Moderate,0.98,"Secondary fungal growth (Capnodium spp.) facilitated by the presence of honeydew excreted by sap-sucking insects like mango hoppers, aphids, or scale insects.",Exact,100.0,"Neem oil application, Insecticidal soaps, High-pressure water spray to physically remove the fungal layer","Imidacloprid, Acetamiprid, Systemic insecticides to target the insect vector",Wash the foliage to remove the soot and apply a targeted insecticide to control the insect population responsible for the honeydew secretion.,"Monitor for signs of sap-sucking insects, Prune canopy to improve air circulation and sunlight penetration, Maintain orchard hygiene by removing debris that may harbor pests, Regular application of preventative organic oils"
Millet,"deformed, leafy green gall-like heads instead of grains, covered in white downy growth",Downy Mildew,Smut,Severe,0.90,"Fungal infection, typically caused by Ustilago species, which replaces the developing grains with spore-producing masses.",Mismatch,0.0,"Removal and deep burial of infected plant debris, Crop rotation with non-cereal crops, Application of neem oil or bio-fungicides","Seed treatment with Carboxin or Thiram, Foliar application of systemic fungicides",Physically remove and destroy all symptomatic heads to prevent the release of spores into the wind.,"Planting resistant millet varieties, Utilizing certified disease-free seeds, Practicing strict field sanitation, Implementing a 3-4 year crop rotation cycle"
Oats,"elongated, orange-red pustules on leaves and sheaths, rupturing to release powdery spores",Crown Rust,Oat Rust,Severe,0.98,Puccinia avenae (fungal pathogen),Partial,0.0,"Crop rotation with non-host species, Removal and destruction of infected crop residue, Use of resistant oat cultivars","Triazole fungicides (e.g., Tebuconazole), Strobilurin fungicides (e.g., Azoxystrobin)",Apply a targeted fungicide treatment immediately upon detection to prevent spore dispersal.,"Select disease-resistant varieties for planting, Maintain proper plant spacing to increase airflow and reduce humidity, Avoid excessive nitrogen application which promotes lush, susceptible growth, Implement effective weed management to eliminate alternative hosts"
Olive,"peacock-eye spots (dark rings with yellow halos) on leaf surfaces, premature defoliation",Peacock Spot,Peacock Spot,Moderate,0.98,Spilocaea oleagina (fungal pathogen),Exact,100.0,"Copper-based fungicides (e.g., Bordeaux mixture), Pruning for improved canopy airflow, Removal of fallen leaves","Copper hydroxide, Strobilurins, Triazole fungicides",Remove and destroy all fallen leaves and infected debris to reduce the fungal inoculum in the soil and canopy.,"Prune trees to increase light penetration and air circulation within the canopy, Avoid overhead irrigation to prevent moisture accumulation on leaf surfaces, Apply preventative copper sprays during periods of high humidity or in late autumn/early spring"
Onion,"pale yellow or white spots on leaves, purple fuzzy mold on leaf surface during wet weather",Downy Mildew,Botrytis (Gray Mold),Moderate,0.85,"Fungal pathogen Botrytis cinerea, favored by high humidity and leaf wetness",Mismatch,0.0,"Neem oil applications, Copper-based fungicides, Biological control agents like Bacillus subtilis","Chlorothalonil, Azoxystrobin",Prune and destroy all symptomatic leaves to reduce inoculum load.,"Use drip irrigation instead of overhead sprinklers, Maintain proper plant spacing to enhance airflow, Practice 3-year crop rotation, Select resistant onion cultivars"
Onion,"water-soaked leaf spots with purple centers, expanding into large oval lesions with yellow borders",Purple Blotch,Purple Blotch,Moderate,0.95,Alternaria porri (fungus),Exact,100.0,"Apply copper-based fungicides, Use neem oil sprays, Remove and destroy infected plant material","Chlorothalonil, Mancozeb, Azoxystrobin",Remove and destroy the most heavily symptomatic leaves to reduce inoculum load and switch to drip irrigation to keep foliage dry.,"Practice 3-4 year crop rotation, Ensure adequate plant spacing for air circulation, Avoid excessive nitrogen fertilization, Use certified disease-free seeds and transplants"
Papaya,"yellow mosaic patterns on leaves, leaf distortion, dark ringspots on fruit, water-soaked streaks on petioles",Papaya Ringspot Virus,Papaya Ringspot Virus (PRSV),Severe,0.95,"Papaya Ringspot Virus (PRSV), primarily transmitted by aphids (vectors).",Exact,100.0,"Roguing and destruction of infected plants, Removal of alternative weed hosts, Application of neem oil to manage aphid populations","Use of systemic insecticides to control aphid vectors, Application of insecticidal soaps",Immediately uproot and destroy all infected plants and their surrounding debris to minimize the viral load in the area.,"Planting virus-resistant varieties, Using certified virus-free planting material, Integrated Pest Management (IPM) to control aphid populations, Maintaining clean field hygiene by removing weeds"
Papaya,"whitish powdery spots on leaves and fruit, yellowing and premature leaf fall",Powdery Mildew,Powdery Mildew,Moderate,0.95,"Fungal pathogen, typically belonging to the Oidium genus",Exact,100.0,"Neem oil spray application, Potassium bicarbonate solution, Milk-water mixture (1:9 ratio) sprayed on leaves, Sulfur-based organic fungicides","Myclobutanil, Azoxystrobin, Difenoconazole, Sulfur-based wettable powders",Prune and destroy heavily infected leaves and fruit to reduce inoculum load; improve air circulation around the canopy.,"Ensure adequate spacing between plants to promote airflow, Avoid overhead irrigation to minimize moisture-related stress, Maintain optimal nitrogen levels (excess nitrogen can increase susceptibility), Sanitize tools and remove fallen infected debris from the orchard floor"
Peach,"sunken, dark circular spots on fruit with gummy exude, shot-holes on leaves",Bacterial Spot,Bacterial Spot,Severe,0.88,Xanthomonas arboricola pv. pruni (bacteria),Exact,100.0,"Application of copper-based sprays, Sanitary pruning of infected branches, Removal and destruction of all symptomatic plant debris","Streptomycin, Copper-based bactericides, Oxytetracycline",Immediately remove and destroy all infected fruit and leaves to prevent the spread of bacterial ooze and inoculum.,"Avoid overhead irrigation to keep foliage dry, Prune trees to maximize sunlight penetration and airflow, Maintain strict orchard sanitation by removing fallen fruit, Select resistant peach cultivars for planting"
Peach,"thickened, puckered red-to-yellow distorted leaves that curl inward and drop prematurely",Peach Leaf Curl,Peach Leaf Curl,Moderate,0.98,Taphrina deformans (fungus),Exact,100.0,"Pruning heavily infected branches, Sanitation by removing and destroying fallen leaves, Increasing air circulation through pruning","Dormant copper-based fungicide applications, Lime sulfur sprays applied in late autumn or early spring",Sanitize the area by removing and destroying all symptomatic leaf litter to prevent spore buildup.,"Apply preventative dormant sprays before bud swell, Maintain proper orchard spacing for airflow, Avoid excessive nitrogen fertilization, Prune trees to maintain an open structure"
Peanut,"small dark brown spots on upper leaf surfaces, yellow halo surrounding spots, defoliation",Early Leaf Spot,Cercospora Leaf Spot (Early Leaf Spot),Moderate,0.95,Fungal pathogen Cercospora arachidicola,Exact,100.0,"Neem oil spray, Copper-based fungicides, Bacillus subtilis applications","Chlorothalonil, Mancozeb, Azoxystrobin",Prune heavily infected leaves and clear debris from the field to reduce fungal inoculum.,"Plant resistant peanut cultivars, Practice strict crop rotation, Ensure proper plant spacing to improve air circulation, Avoid excessive nitrogen application which promotes lush, susceptible foliage"
Peanut,"circular dark brown spots on lower leaf surfaces, no yellow halo, premature defoliation",Late Leaf Spot,Late Cercospora Leaf Spot,Moderate,0.94,Fungal pathogen Phaeoisariella arachidicola (formerly Cercospora personata),Mismatch,0.0,"Copper-based fungicides, Neem oil applications, Biological control agents like Bacillus subtilis","Chlorothalonil, Azoxystrobin, Tebuconazole",Prune and remove infected lower leaves to reduce the fungal inoculum in the canopy.,"Implement a 2-3 year crop rotation with non-host crops, Plant resistant peanut varieties, Avoid excessive nitrogen fertilization which promotes lush, susceptible growth, Maintain proper plant spacing to improve airflow and reduce humidity in the canopy"
Pear,"bright orange spots on upper leaf surfaces, brown horn-like projections on lower surfaces",Pear Rust,Pear Rust,Moderate,0.98,Gymnosporangium sabinae (fungus),Exact,100.0,"Remove and destroy infected leaves and debris, Prune out heavily infected branches to reduce inoculum, Improve air circulation through proper pruning","Apply copper-based fungicides, Use systemic fungicides such as myclobutanil",Remove and dispose of all symptomatic leaves and fallen debris to prevent further spore spread.,"Identify and remove alternate hosts (primarily Juniper species) from the vicinity, Implement a preventative fungicide spray program in early spring, Ensure proper spacing between trees to enhance airflow"
Pineapple,"leaves turning yellow-red, wilting and dying from tips backward, roots decaying and slipping off easily",Root Rot,Phytophthora Root Rot,Severe,0.92,"Pathogenic oomycetes, most commonly Phytophthora species, which attack the root system in waterlogged conditions.",Exact,100.0,"Enhance soil drainage through raised beds, Application of beneficial fungi such as Trichoderma harzianum, Use of organic compost to improve soil structure","Metalaxyl-M systemic fungicides, Fosetyl-Al, Mefenoxam",Cease all irrigation immediately and implement emergency drainage to reduce soil saturation.,"Use only pathogen-free slips or plantlets, Maintain proper soil aeration and drainage, Crop rotation with non-host plants, Avoid excessive nitrogen fertilization which can promote soft tissue growth susceptible to infection"
Plum,"hard, elongated, curved, pocket-like hollow green galls replacing fruit",Plum Pockets,Plum Fruit Gall,Moderate,0.94,Infestation by the larvae of Gall Midges (Cecidomyiidae),Mismatch,0.0,"Manual removal and destruction of all galled fruit, Pruning and burning of infested twigs or branches, Application of neem oil during the early growing season","Application of Spinosad during the egg-laying period, Use of insecticidal soaps to target larvae",Pick and destroy all symptomatic galled fruit immediately to prevent larvae from maturing and emerging as adults.,"Maintain strict orchard sanitation by removing fallen fruit and debris, Monitor for adult midges in early spring using pheromone or sticky traps, Avoid over-fertilization with nitrogen which can promote succulent growth attractive to midges"
Potato,"dark brown to black lesions on stems (blackleg), rotting of tubers with foul smell",Blackleg,Blackleg,Severe,0.95,"Bacterial infection, primarily caused by Pectobacterium atrosepticum or Dickeya species.",Exact,100.0,"Improve field drainage to reduce soil moisture, Implement long-term crop rotation, Remove and burn infected plant debris","Use certified disease-free seed tubers, Copper-based bactericides (limited efficacy), Seed treatments with specific bactericides",Remove and destroy all infected plants and tubers immediately to prevent further spread through soil and water.,"Use only certified pathogen-free seed potatoes, Avoid excessive nitrogen fertilization, Ensure proper soil aeration and drainage, Rotate crops with non-host species for at least 3 years"
Potato,"concentric ring spots on leaves, dry brown spots on tubers",Early Blight,Early Blight,Moderate,0.95,Alternaria solani (fungus),Exact,100.0,"Copper-based fungicides, Neem oil application, Biofungicides containing Bacillus subtilis","Chlorothalonil, Mancozeb, Azoxystrobin",Remove and destroy infected foliage and tubers to prevent spore dispersal; switch to drip irrigation to keep leaves dry.,"Implement a 3-year crop rotation cycle, Use certified disease-free seed tubers, Maintain proper plant spacing to improve airflow, Avoid excessive nitrogen fertilization which promotes lush, susceptible growth"
Potato,"surface cracks, dry brown necrotic rot inside tubers, white-to-pink mold inside cavities of stored potatoes",Fusarium Dry Rot,Dry Rot (Fusarium Dry Rot),Severe,0.98,"Fungal infection by Fusarium species, most commonly Fusarium sambucinum or Fusarium sporotrichioides.",Exact,100.0,"Remove and destroy all infected tubers immediately, Improve airflow and ventilation in storage facilities, Maintain low relative humidity in storage environments","Pre-harvest fungicide applications (e.g., Fludioxonil) if permitted by local regulations, Post-harvest fungicide treatments for commercial storage",Isolate all symptomatic tubers and reduce storage temperature and humidity to slow fungal proliferation.,"Use certified, disease-free seed potatoes, Avoid mechanical injury to tubers during harvest to prevent entry points, Implement crop rotation with non-host crops, Ensure proper curing of tubers before long-term storage, Maintain soil health and moisture levels to prevent plant stress"
Potato,"concentric cracking of tubers, network of dry brown rot, foliage wilting and drying prematurely",Verticillium Wilt,Fusarium Dry Rot,Severe,0.88,"Fungal pathogen, primarily Fusarium species such as Fusarium sambucinum or Fusarium solani",Mismatch,0.0,"Crop rotation with non-host plants like cereals or grasses, Application of organic matter to improve soil structure and microbial competition, Soil solarization to reduce fungal inoculum","Fungicides containing Fludioxonil for seed treatment, Mancozeb or Chlorothalonil applications to protect foliage",Immediately remove and destroy all infected tubers and symptomatic foliage to prevent further spore spread; avoid composting infected material.,"Use only certified, disease-free seed tubers, Minimize mechanical wounding of tubers during harvesting, Optimize soil drainage to prevent excessive moisture, Maintain proper nutrition to reduce plant stress"
Rice,"wavy-margined lesions starting from leaf tips, turning yellow-brown, bacterial ooze droplets in morning",Bacterial Leaf Blight,Bacterial Leaf Blight,Severe,0.98,Xanthomonas oryzae pv. oryzae (bacterium),Exact,100.0,"Application of Bacillus subtilis-based bio-fungicides, Copper-based organic sprays, Use of neem-based bactericides","Streptomycin sulfate, Kasugamycin, Copper hydroxide",Remove and destroy infected leaf debris and maintain field drainage to prevent bacterial spread through water.,"Plant resistant rice varieties, Avoid excessive use of nitrogenous fertilizers, Practice crop rotation, Ensure proper spacing to improve aeration, Manage irrigation to minimize water splashing onto leaves"
Rice,"linear brown spots on leaves, stunted growth, empty grains",Brown Spot,Bacterial Leaf Streak,Severe,0.88,Xanthomonas oryzae pv. oryzae,Mismatch,0.0,"Copper-based fungicides, Removal of infected crop residue, Application of beneficial microbes like Bacillus subtilis","Streptomycin sulfate, Oxytetracycline, Copper hydroxide",Isolate affected areas and remove/burn heavily infected leaves to prevent bacterial spread via wind and water.,"Use resistant rice cultivars, Avoid excessive nitrogenous fertilization, Implement proper field drainage and water management, Use certified, pathogen-free seeds"
Rice,"spindle-shaped lesions with gray-white centers and brown borders on leaves, lodging of plants",Rice Blast,Rice Blast,Severe,0.98,Fungal pathogen Magnaporthe oryzae,Exact,100.0,"Crop rotation with non-host plants, Application of bio-control agents such as Trichoderma, Balanced nitrogen management to avoid lush growth","Tricyclazole, Azoxystrobin, Isoprothiolane",Reduce nitrogen fertilization and apply a systemic fungicide immediately to contain the lesion spread.,"Select and plant resistant rice varieties, Avoid over-application of nitrogenous fertilizers, Maintain optimal field drainage and water management, Use disease-free, certified seeds"
Rice,"stunted growth, pencil-like white galls or 'onion leaf' appearance on leaves, midge vector present",Rice Gall Midge,Rice Gall Midge,Severe,0.98,Larvae of the rice gall midge (Orseolia oryzae),Exact,100.0,"Removal of infected plants (roguing), Planting resistant cultivars, Synchronous planting of rice crops","Application of systemic insecticides like Fipronil, Application of Chlorpyrifos during peak infestation periods",Identify and remove all plants showing 'onion leaf' symptoms immediately to prevent larvae from completing their life cycle.,"Use of resistant varieties, Avoid excessive use of nitrogenous fertilizers, Timely sowing of crops, Field sanitation"
Rose,"circular black spots on leaves, surrounding leaf tissue turns yellow and falls off",Black Spot,Black Spot (Diplocarcon rosae),Moderate,0.98,Fungal pathogen Diplocarcon rosae,Exact,100.0,"Neem oil application, Baking soda and horticultural oil spray, Potassium bicarbonate","Fungicides containing tebuconazole, Myclobutanil-based sprays, Sulfur-based fungicides",Remove and destroy all infected leaves and prune away heavily affected canes to reduce spore load.,"Ensure adequate spacing between plants for air circulation, Water at the base of the plant to keep foliage dry, Apply mulch to prevent soil-borne spores from splashing onto leaves, Choose disease-resistant rose varieties"
Rose,"powdery white fungal growth on leaves, buds, and stems, distortion of young leaves",Powdery Mildew,Powdery Mildew,Moderate,0.98,"Fungal pathogen, most likely Podosphaera pannosa",Exact,100.0,"Neem oil spray, Potassium bicarbonate solutions, Milk and water mixture (1:9 ratio), Sulfur-based organic fungicides","Myclobutanil, Tebuconazole, Trifloxystrobin","Prune and remove all infected leaves, stems, and buds to reduce spore load, ensuring tools are sanitized between cuts.","Increase spacing between plants to improve air circulation, Avoid overhead watering; water at the base of the plant, Ensure plants receive at least 6-8 hours of sunlight daily, Remove fallen leaves from the base of the plant"
Rye,"dark, hard, spur-like sclerotia replacing grains in the spike/ear",Ergot,Ergot,Severe,0.99,Claviceps purpurea (fungus),Exact,100.0,"Crop rotation with non-host crops, Mechanical removal of sclerotia-bearing spikes, Weed management to eliminate alternate hosts","Fungicide seed treatments, Fungicide applications during the flowering period",Remove and destroy all infected plant material and sclerotia to prevent spore dispersal.,"Avoid planting in fields with high sclerotia residue, Use certified disease-free seeds, Maintain strict crop rotation schedules, Minimize weed populations near the field"
Sorghum,"reddish-purple or tan spots on leaves, elongated necrotic lesions with red borders",Anthracnose,Anthracnose,Moderate,0.92,Colletotrichum graminicola,Exact,100.0,"Crop rotation with non-host species, Removal and destruction of infected crop residues, Planting resistant sorghum varieties","Azoxystrobin, Propiconazole, Mancozeb",Isolate and destroy infected plants and debris to prevent spore dispersal.,"Use certified disease-free seeds, Optimize nitrogen application to prevent excessive canopy density, Manage irrigation to minimize leaf wetness duration, Practice field sanitation"
Soybeans,"rust-colored pustules on the underside of leaves, premature defoliation",Asian Soybean Rust,Soybean Rust,Severe,0.98,Fungal pathogen Phakopsora pachyrhizi,Partial,0.0,"Copper-based fungicides, Biological control agents such as Bacillus subtilis, Removal of infected plant debris","Triazoles, Strobilurins, SDHIs (Succinate Dehydrogenase Inhibitors)",Apply a fungicide treatment immediately to prevent further spore dispersal and reduce premature defoliation.,"Planting resistant soybean varieties, Regular field scouting and monitoring, Managing planting dates to avoid high-pressure periods, Maintaining field sanitation"
Soybeans,"brownish-red necrotic spots with yellow halos on leaves, defoliation in lower canopy",Brown Spot,Corynespora leaf spot,Moderate,0.92,Fungal pathogen Corynespora cassiicola,Mismatch,0.0,"Copper-based fungicides, Biofungicides containing Bacillus subtilis","Triazoles (e.g., tebuconazole), Strobilurins (e.g., azoxystrobin), SDHI fungicides",Reduce canopy humidity and avoid overhead irrigation to limit spore dispersal.,"Crop rotation with non-host crops, Use of resistant soybean cultivars, Optimize plant spacing for better airflow, Sanitize equipment to prevent pathogen spread"
Soybeans,"yellowing of leaf margins in a V-shape, stunted growth, cyst nematodes on roots",Soybean Cyst Nematode,Soybean Cyst Nematode (SCN),Severe,0.98,"Infection by the parasitic nematode Heterodera glycines, which causes root necrosis and impairs the plant's ability to uptake water and nutrients.",Exact,100.0,"Crop rotation with non-host species such as corn, wheat, or small grains, Selection and planting of SCN-resistant soybean cultivars, Incorporation of organic matter to enhance soil biological activity","Application of nematicides containing fluopyram (if permitted by local regulations), Soil fumigation in high-value localized areas",Perform a quantitative soil and root sample test to determine the nematode population density (eggs per cm³) to guide management decisions.,"Strict cleaning of agricultural machinery to prevent the spread of infested soil, Long-term crop rotation strategies to break the nematode life cycle, Continuous monitoring of soil nematode populations, Avoidance of excessive nitrogen fertilization which can sometimes exacerbate SCN damage symptoms"
Spinach,"yellow or chlorotic spots on upper leaf surface, purplish-gray downy fungal growth on underside",Downy Mildew,Downy Mildew,Moderate,0.98,Oomycete pathogen Peronospora farinosa,Exact,100.0,"Copper-based fungicides, Biological control agents such as Bacillus subtilis, Removing and destroying highly infected plant tissue","Mancozeb, Metalaxyl-M, Cyazofamid",Remove and destroy infected leaves immediately and switch to drip irrigation to keep foliage dry.,"Plant resistant cultivars, Improve plant spacing to enhance airflow, Avoid overhead watering to minimize leaf moisture, Implement crop rotation with non-host plants, Ensure proper soil drainage"
Squash,"wilting of individual leaves during day, rapid collapse of entire vine, white sticky ooze when stem is cut and squeezed",Bacterial Wilt,Gummy Stem Blight,Critical,0.95,Didymella bryoniae (fungus),Mismatch,0.0,"Copper-based fungicides, Bacillus subtilis-based biofungicides, Removal of infected plant debris","Chlorothalonil, Mancozeb, Azoxystrobin",Uproot and destroy the entire infected plant and all surrounding organic debris immediately; do not compost the infected material.,"Rotate crops with non-cucurbit species for at least 3 years, Avoid overhead irrigation to keep foliage dry, Ensure adequate plant spacing to improve airflow, Use resistant squash varieties, Maintain clean garden tools to prevent spore transfer"
Squash,"mosaic mottling of leaves, blistering, distorted green fruit, stunted vines",Zucchini Yellow Mosaic Virus,Squash Mosaic Virus (SqMV),Severe,0.95,"Squash Mosaic Virus (SqMV), typically transmitted by aphids or through infected seeds.",Partial,0.0,"Remove and destroy all infected plant material immediately., Use insecticidal soaps or neem oil to manage aphid populations., Improve plant vigor through balanced fertilization.","Apply systemic insecticides to control aphid vectors., Use neem-based formulations for soft-bodied insect control.",Rogue (remove and burn) all plants showing symptoms to prevent the virus from spreading to healthy neighboring plants via insect vectors.,"Use only certified disease-free seeds for planting., Implement strict insect management to control aphid vectors., Practice crop rotation to break the life cycle of pathogens., Sanitize garden tools regularly."
Strawberry,"fuzzy gray mold growing on blossoms and fruit, soft rot of berries",Gray Mold,Gray Mold (Botrytis cinerea),Severe,0.98,"The fungal pathogen Botrytis cinerea, which thrives in high humidity, moist conditions, and cool temperatures.",Exact,100.0,"Application of Bacillus subtilis, Copper-based fungicides, Neem oil, Sand or straw mulching to reduce fruit-to-soil contact","Fenhexamid, Fludioxonil, Cyprodinil",Prune and remove all infected blossoms and berries immediately. Do not compost infected material; dispose of it away from the garden.,"Improve air circulation by spacing plants properly, Avoid overhead watering to keep foliage and fruit dry, Remove dead plant matter and debris from the field, Select resistant strawberry cultivars, Manage moisture levels in the soil"
Strawberry,"white powdery growth on leaf undersides, leaves curling upward exposing purplish undersides",Powdery Mildew,Powdery Mildew,Moderate,0.95,Fungal pathogen Podosphaera aphanis,Exact,100.0,"Neem oil, Potassium bicarbonate spray, Sulfur-based organic fungicides, Milk-based foliar spray","Myclobutanil, Fenarimol, Sulfur-based fungicides",Prune and dispose of heavily infected leaves to reduce the fungal spore load.,"Improve air circulation by increasing plant spacing, Avoid overhead watering to keep leaves dry, Use resistant strawberry varieties, Maintain proper nitrogen levels to avoid excessive succulent growth"
Sugarbeet,"circular spots with gray centers and reddish-purple borders on leaves, defoliation of older leaves",Cercospora Leaf Spot,Cercospora Leaf Spot,Moderate,0.95,Cercospora beticola (fungus),Exact,100.0,"Crop rotation with non-host crops, Removal and destruction of infected plant debris, Use of resistant cultivars","Chlorothalonil, Azoxystrobin, Cyproconazole",Apply a targeted fungicide to slow spore production and remove heavily defoliated older leaves to reduce inoculum.,"Rotate crops every 2-3 years to break the fungal life cycle, Avoid excessive nitrogen application which promotes lush, susceptible growth, Maintain proper plant spacing to improve airflow and reduce leaf moisture, Use certified disease-free seeds"
Sugarbeet,"stunted growth, yellowing of leaf tips, excessive branching of roots (hairy root), cyst-like structures on roots",Sugarbeet Cyst Nematode,Sugar beet cyst nematode,Severe,0.98,Heterodera schachtii,Exact,100.0,"Crop rotation with non-host crops such as cereals or grasses, Soil solarization, Use of biological control agents like Paecilomyces lilacinus","Application of nematicides containing fluopyram, Fumigation with methyl bromide (where regulated and permitted)",Isolate the affected area and prevent movement of soil or water to uncontaminated zones.,"Incorporate long-term crop rotation schedules, Plant nematode-resistant cultivars, Ensure clean equipment and footwear when moving between fields, Monitor soil for nematode populations regularly"
Sugarcane,"narrow yellow stripes on leaves running parallel to veins, turning brown and drying out",Leaf Scald,Sugarcane Mosaic Virus (SCMV),Moderate,0.92,"Sugarcane mosaic virus (SCMV), typically transmitted by aphid vectors such as Rhopalosiphum maidis.",Mismatch,0.0,"Roguing and destroying infected plants immediately, Use of disease-resistant sugarcane varieties","Application of aphidicides to control vector populations (e.g., imidacloprid or thiamethoxam)",Identify and remove all symptomatic plants to prevent further spread by aphids.,"Use of certified, virus-free seed cane, Strict control of aphid populations, Proper field sanitation and weed management, Crop rotation with non-host crops"
Sugarcane,"red discoloration in vascular bundles when stem is split open, sour alcoholic smell, white cross bands",Red Rot,Red Rot,Severe,0.98,Colletotrichum falcatum,Exact,100.0,"Use of disease-free, certified seed cane, Crop rotation with non-graminaceous crops, Strict field sanitation and removal of infected debris","Carbendazim, Mancozeb, Copper-based fungicides",Immediately uproot and burn all plants showing symptomatic discoloration to prevent further spore spread.,"Planting resistant varieties, Proper drainage to avoid waterlogging, Avoiding mechanical damage to stalks during planting, Strict inspection of seed cane stocks"
Sugarcane,"long, black, whip-like structure emerging from the growing tip",Sugarcane Smut,Sugarcane Smut,Severe,0.98,Sporisorium scitamineum (fungus),Exact,100.0,"Uprooting and burning of infected plants, Soil solarization in affected areas, Crop rotation with non-graminaceous crops","Seed treatment with systemic fungicides like Carbendazim, Application of fungicides to healthy neighboring plants if outbreak is localized",Immediately uproot and burn all plants exhibiting the black whip structure to prevent the dispersal of teliospores.,"Use of certified disease-free seed cane, Cultivation of resistant sugarcane varieties, Strict field sanitation and cleaning of farm implements, Proper drainage management to reduce plant stress"
Sunflower,"white cottony growth on stem base, wilting of plant, black sclerotia inside stem",Sclerotinia Wilt,Sclerotinia Stem Rot (White Mold),Severe,0.98,Sclerotinia sclerotiorum (fungus),Partial,0.0,"Removal and deep burial of infected plant material, Application of biocontrol agents like Coniothyrium minitans, Crop rotation with non-host species","Fungicide application (e.g., Boscalid, Fludioxonil), Prophylactic fungicide treatment during susceptible growth stages","Remove the infected sunflower plant and all surrounding debris immediately; do not compost, as sclerotia can survive composting.","Crop rotation with non-host crops (e.g., cereals) for at least 2-3 years, Implement proper field drainage to reduce moisture, Avoid excessive nitrogen fertilization which promotes dense canopy and moisture retention, Use resistant sunflower cultivars"
Sweet Potato,"cracked or deformed storage roots, purplish rings on foliage, stunted growth",Feathered Mottle Virus,Sweet Potato Virus Disease (SPVD),Severe,0.88,Synergistic interaction between Sweet Potato Feathery Mottle Virus (SPFMV) and Sweet Potato Chlorotic Stunt Virus (SPCSV),Partial,0.0,"Use of virus-free, healthy vine cuttings (slips), Crop rotation with non-host species, Elimination of alternative weed hosts",Application of systemic insecticides to manage insect vectors like aphids and whiteflies,Roguing and immediate destruction (burning) of all symptomatic plants to prevent further viral spread by insect vectors.,"Use of certified, disease-free planting material, Implementation of Integrated Pest Management (IPM) to control vector populations, Strict sanitation of farming tools and equipment, Regular monitoring of fields for early symptom detection"
Sweet Potato,"stunted growth, yellowing foliage, purplish spots on leaves, white grubs or small black weevils tunneling roots",Sweet Potato Weevil,Sweet Potato Weevil (Cylas formicarius) and Soil-borne Grub Infestation,Severe,0.95,"Infestation of Sweet Potato Weevils and various soil-dwelling larvae (grubs) that tunnel into the root system, causing physical damage to the tubers and disrupting the uptake of water and essential nutrients, which manifests as stunting and foliage discoloration.",Exact,100.0,"Application of beneficial nematodes (e.g., Steinernema spp.) to the soil, Use of Neem oil as a soil drench, Crop rotation with non-host species like corn or small grains, Manual removal and destruction of infested plant parts","Soil application of Imidacloprid, Application of Chlorpyrifos (subject to local regulations), Use of Cyfluthrin for perimeter pest control",Immediately harvest and destroy any visibly damaged tubers and remove all infested plant material from the field to prevent further larval development and adult dispersal.,"Use only certified, pest-free planting slips, Practice strict crop rotation cycles of at least 3 years, Maintain healthy soil structure and moisture levels to discourage certain grub species, Implement regular field scouting for adult weevil emergence"
Tea,"yellowish blisters on leaves that turn white and rupture to release spores, dark brown sunken lesions later",Blister Blight,Blister Blight,Severe,0.95,Exobasidium vexans (fungus),Exact,100.0,"Pruning and removal of infected shoots, Destruction of fallen infected leaves, Improving canopy air circulation","Copper-based fungicides (e.g., Copper oxychloride), Systemic fungicides (e.g., Hexaconazole, Triadimefon), Carbendazim",Prune out heavily infested parts and destroy them far from the plantation to prevent spore dispersal.,"Avoid excessive nitrogenous fertilizer application, Ensure proper spacing for better airflow, Maintain field sanitation by clearing debris, Monitor humidity and rainfall patterns"
Tomato,"sudden wilting of plant without leaf yellowing, white bacterial ooze from cut stems when placed in water",Bacterial Wilt,Bacterial Wilt,Severe,0.98,Ralstonia solanacearum (bacterium),Exact,100.0,"Immediate removal and destruction of infected plants, Soil solarization to reduce bacterial load, Crop rotation with non-host plants like corn or grasses","Copper-based bactericides (preventative only), Soil drenching with specific bactericides (efficacy varies)",Immediately remove and burn all symptomatic plants to prevent the spread of bacteria through soil and water contact.,"Use certified pathogen-free seeds and transplants, Implement strict sanitation and sterilization of gardening tools, Ensure excellent soil drainage to prevent waterlogging, Avoid wounding plant stems during weeding or cultivation, Rotate crops with non-host species for at least 2-3 years"
Tomato,"dark spots with concentric rings on lower leaves, resembling a target",Early Blight,Early Blight,Moderate,0.98,Fungus (Alternaria solani),Exact,100.0,"Copper-based fungicides, Neem oil, Bacillus subtilis-based biological controls","Chlorothalonil, Mancozeb, Azoxystrobin",Prune and remove all infected lower leaves immediately; dispose of them in the trash rather than composting to avoid spreading spores.,"Practice 3-4 year crop rotation with non-solanaceous plants, Apply organic mulch to prevent soil-borne spores from splashing onto foliage, Use drip irrigation instead of overhead watering to keep leaves dry, Ensure adequate plant spacing to promote airflow and reduce humidity"
